Name,Contact/Brewer,Address,Town/Suburb,Postcode,Phone,Email,Website,Operating Hours,Beer Selection,,,,,,,,,
Hargreaves Hill Brewing Co.,Simon Walkenhorst,25 Bell Street,Yarra Glen,3775,9730 1905,simon@hargreaveshill.com.au,www.hargreaveshill.com.au,Wednesday-Sunday,"Pale
Hefeweizen
ESB
Porter
Bohemian
Abbey Dubbel
Celtic",,,,,,,,,
Holgate Brewhouse,Paul Holgate,79 High Street,Woodend,3442,5427 3522,beer@holgatebrewhouse.com,www.holgatebrewhouse.com,"2.00 pm ~ late
(Mondays)
12 Noon ~ late
(Tuesday-Sunday)","Pilsner
Mt Macedon Ale
Nut Brown Ale
White Ale
Big ReG Lager
ESB
Temptress Choc Porter
Hopinator
Double Trouble",,,,,,,,,
13 James Squire Brewhouse - Waterfont City,Dave Edney,"Tenancy 16, Waterfront City, 439 Docklands Drive","Docklands, Melbourne",3000,03 9600 0700,info_melb@jamessquirebrewhouse.net,www.jamessquirebrewhouse.net,"12.00 Noon ~ late
7 days a week","Docklands Pale Ale
Highwayman Red Ale
Craic Irish Stout
Waterfront Wheat Ale
James Squire Amber Ale
James Squire Golden Ale
James Squire Pilsener
James Squire Porter
James Squire India Pale Ale",,,,,,,,,
James Squire Brewhouse - Portland Hotel,,115-127 Russell Street,Melbourne,3000,03 9810 0064,theportlandhotel@odpc.com.au,www.portlandhotel.com.au,"12 Noon ~ late
(Monday-Sunday)","James Squire Amber Ale
James Squire Golden Ale
James Squire Pilsener
James Squire Porter
James Squire India Pale Ale
Portland Pale Ale
Highwayman Red Ale
Craic Irish Stout
Seasonal Brews Include
Speculator American Pale Ale
Colonial Wheat",,,,,,,,,
Jamieson Brewery,Jeff Whyte,Eildon Road,Jamieson,3723,03 5777 0515,info@jamiesonbrewery.com.au,www.jamiesonbrewery.com.au,"10.00 am ~ 11.00 pm
7 days a week","Jamieson Brown Ale
Jamieson Pale Ale
Jamieson Raspberry Ale
Jamieson Mountain Ale
Jamieson Beast IPA",,,,,,,,,
Mildura Brewery,Don Carrazza,20 Langtree Avenue,Mildura,3500,5021 5399,info@mildurabrewery.com.au,www.mildurabrewery.com.au,"11.00 am ~ late
7 days a week","Mallee Bull
Desert Premium Lager
Honey Wheat
Sun Light
Storm
Seasonal and Speciality Beers",,,,,,,,,
Mountain Goat Brewery,brewer:dave bonighton,80 North Street,Richmond,3121,03 9428 1180,goat@goatbeer.com.au,www.goatbeer.com.au,"5.00 pm ~ 10.00 pm
Wednesday
5.00 pm ~ Midnight
Friday","Hightail Ale
Pale Ale
India Pale Ale
Surefoot Stout
One-off Brews",,,,,,,,,
Otway Estate,Luke Scott ,10 - 30 Hoveys Road,Barongarook,3249,5233 8400,luke@otwayestate.com.au,www.otwayestate.com.au,"10.00 am ~ 5.00 pm
7 days a week
Closed Christmas Day","Otway Light
Summer Ale
Otway Pilsner
Wheat Beer
Otway Ale
Red Ale
Organic Lager
Farmhouse Ale
Saison
Reserve De Otway
Otway Strong Ale
Otway Stout",,,,,,,,,
Red Hill Brewery,,88 Shoreham Road,Red Hill South,3937,03 5989 2959,info@redhillbrewery.com.au,www.redhillbrewery.com.au,"11.00 am ~ 5.00 pm
(Thursday-Sunday and
Public Holidays)","Golden Ale
Wheat Beer
Scotch Ale
Seasonal and Speciality Beers",,,,,,,,,
Sweetwater Brewery,Peter Hull,PO Box 256,Mount Beauty,3699,5754 1881,info@sweetwaterbrewing.com.au,www.sweetwaterbrewing.com.au,"11.00 am ~ 5.00 pm
(Wednesday-Sunday and
Public Holidays)","Pale Ale
Golden Bitter
Seasonal and Special Releases
to come…",,,,,,,,,
Temple Brewing Company,Brewer: Ron Feruglio,"Level 8, 124 Exhibition Street",Melbourne,3000,0418 557 875,info@templebrewing.com.au,www.templebrewing,,,,,,,,,,,
The 3 Ravens Brewing Company,Ben Pattison and Marcus Cox,1 Theobald Street,Thornbury,3071,03 9495 1026,3ravens@3ravens.com.au,www.3ravens.com.au,"Direct to Public Sales
2.00 pm ~ 8.00 pm
Fridays","3 Ravens Blond
3 Ravens Black
3 Ravens White
3 Ravens Bronze
3 Ravens 55
3 Ravens Dark",,,,,,,,,
Three Troupers Brewery,David Troup,RMB 762,Beaufort,3373,0419 497 379,info@threetroupers.com.au,www.threetroupers.com.au,,,,,,,,,,,
Tooborac Hoand Brewery,,5115 Northern Highway,Tooborac,3522,03 5433 5201,info@tooborachotel.com.au,www.tooborachotel.com.au,"11.00 am
7 days a week
Closed Christmas Day
and Good Friday","Pale Ale
Amber Ale
Porter
Seasonal beers to be
invented…",,,,,,,,,
University of Ballarat Brewery,Peter Aldred and Bradford Tetlow,University Drive,"Mt Helen, Ballarat",3353,03 5327 9243,p.aldred@ballarat.edu.au,www.ballarat.edu.au/ard/scieng/courses/food.shtml,When we’re brewing!,"UniGold
UniDark
Ballarat Gold Ale
Vanilla Porter",,,,,,,,,
White Rabbit Brewery,Alex Troncosso and Dean Mcleod,316 Maroondah Highway,Healesville,3777,03 5962 6516,info@whiterabbitbeer.com.au,www.whiterabbitbeer.com.au,"10.00 am ~ 6.00 pm
Sunday-Thursday
10.00 am ~ 10.00 pm
Friday and Saturday",Open Fermented Ale,,,,,,,,,
2 Brothers Brewery,David or Andrew Ong,4 Joyner Street ,Moorabbin,3189,9553 1177,beer@2brothers.com.au,www.2brothers.com.au,"4.00 pm ~ 10.00 pm
Thursday
12 Noon ~ Midnight
Friday
Private functions by
arrangement","Taxi - Pilsner
Trickster - Witbier
Growler - American Brown Ale
Rusty - Belgian Pale Ale
Chief - Märzen",,,,,,,,,
,,,,,,,,,,,,,,,,,,
